ts,open,high,low,close,volume,vol_achat,vol_vente,n_trades,n_achat,gros_achat,gros_vente,moyen_achat,moyen_vente,trade_max
1772981100,67093.6,67146.1,67018.0,67110.5,244.984,128.1,116.884,4490,2381,29.393,36.723,66.139,53.365,1510033.05
1772981400,67110.5,67284.4,67103.2,67250.1,328.773,230.663,98.11,4860,3028,105.593,25.65,82.735,44.805,1509829.75
1772981700,67250.1,67330.5,67230.8,67304.1,240.932,144.448,96.484,3151,1885,37.383,47.617,79.5,30.099,970021.7496
1772982000,67304.1,67330.5,67165.7,67300.2,433.462,189.545,243.917,6302,3092,69.959,93.843,76.676,99.306,596451.632
1772982300,67300.2,67325.0,67180.0,67316.1,334.268,208.912,125.356,5120,2656,126.365,36.97,47.455,49.496,3488842.3111
1772982600,67316.1,67333.1,67247.0,67323.9,241.777,154.16,87.617,3739,2047,59.145,15.991,64.219,45.833,673431.072
1772982900,67323.9,67323.9,67240.0,67314.8,199.408,117.728,81.68,2984,1496,60.102,34.632,36.562,23.694,3101167.2636
1772983200,67314.8,67314.8,67097.2,67184.6,567.922,178.384,389.538,5874,2384,75.277,164.476,70.316,171.204,1496501.0067
1772983500,67184.6,67192.6,67107.2,67130.0,173.908,97.265,76.643,2738,1222,54.104,26.499,26.969,28.08,779621.7024
1772983800,67130.0,67183.1,67081.6,67086.5,240.571,133.109,107.462,4701,2211,42.56,22.743,57.516,48.522,1008445.9
1772984100,67086.4,67167.7,67073.0,67122.7,202.978,105.349,97.629,3865,1984,37.151,26.8,41.497,40.974,844252.2
1772984400,67122.8,67196.0,67120.1,67120.2,189.173,84.692,104.481,2995,1526,23.357,60.327,38.977,24.132,1405160.3328
1772984700,67120.1,67199.1,67100.0,67156.4,319.996,120.413,199.583,3483,1877,49.522,140.303,46.684,39.422,6953884.5642
1772985000,67156.4,67156.4,67030.1,67149.7,288.817,127.846,160.971,4151,1911,54.602,56.894,46.663,69.837,1044545.7
1772985300,67149.8,67189.5,67095.6,67174.7,484.936,364.959,119.977,4471,2447,250.849,31.623,78.253,61.411,11771001.2252
1772985600,67174.6,67232.0,67143.7,67162.9,429.335,235.111,194.224,4938,2506,90.522,77.274,104.063,81.481,1038307.2
1772985900,67163.0,67215.2,67153.5,67156.2,274.154,182.412,91.742,2684,1310,136.299,30.414,28.526,40.527,5074676.76
1772986200,67156.2,67170.8,67045.1,67052.7,212.382,58.039,154.343,3225,1168,12.549,49.515,28.659,69.849,1001236.08
1772986500,67052.7,67092.2,66988.0,67088.0,510.002,253.88,256.122,4982,2686,104.265,109.506,110.959,106.613,812722.3293
1772986800,67088.0,67119.3,67026.2,67097.3,410.485,127.356,283.129,4264,2147,44.433,162.441,52.014,87.62,4781747.3
1772987100,67097.3,67112.6,67073.6,67073.8,97.491,50.493,46.998,2014,998,12.532,13.917,24.218,16.534,389681.3712
1772987400,67073.7,67083.2,66888.0,66889.5,581.637,196.415,385.222,6481,2398,67.762,145.829,92.495,175.03,2411933.0
1772987700,66889.6,66920.0,66785.1,66900.0,1403.965,702.692,701.273,9808,4915,439.88,337.674,183.668,285.254,4430844.0
1772988000,66900.0,66974.8,66893.8,66963.0,258.94,146.037,112.903,4075,2370,38.379,51.582,68.79,35.697,785474.0773
1772988300,66963.1,66963.1,66835.3,66885.9,570.22,197.693,372.527,5467,2416,74.217,219.714,86.006,104.118,8084076.3279
1772988600,66885.9,66909.0,66830.0,66868.9,267.375,113.253,154.122,3994,1950,43.505,70.399,40.303,54.537,778172.07
1772988900,66868.9,66909.6,66761.8,66829.9,440.974,189.046,251.928,5066,2264,93.993,83.6,61.391,121.508,806008.8
1772989200,66830.0,67100.0,66752.5,67097.9,1211.563,794.695,416.868,12633,7726,363.789,164.638,322.249,180.245,4226278.744
1772989500,67098.7,67151.7,67050.8,67104.9,709.799,424.105,285.694,7382,4075,171.284,108.245,189.419,126.06,1233546.1684
1772989800,67104.9,67108.6,66987.8,67103.0,272.452,147.244,125.208,4614,2245,59.606,35.796,53.463,55.024,888265.956
1772990100,67103.0,67125.8,67040.0,67110.4,300.542,178.28,122.262,3838,2010,111.043,42.251,36.893,50.897,4942995.84
1772990400,67110.4,67110.4,67029.0,67105.6,290.967,131.586,159.381,4288,2181,55.079,38.15,46.767,83.338,657823.5874
1772990700,67105.5,67108.5,67000.8,67027.4,499.701,284.71,214.991,3941,1634,228.37,87.5,35.682,88.316,4060143.4664
1772991000,67027.4,67079.2,66933.1,66967.1,291.972,108.144,183.828,3885,1737,31.737,71.63,51.345,74.927,980765.94
1772991300,66967.2,67048.3,66964.8,67021.4,193.106,116.911,76.195,3201,1832,51.306,21.387,40.098,31.504,810811.0092
1772991600,67021.5,67032.9,66988.1,67020.9,89.587,45.568,44.019,1648,794,20.448,15.121,14.106,14.223,796899.9794
1772991900,67020.9,67089.3,67000.0,67020.8,183.851,97.127,86.724,2985,1566,25.27,40.239,48.672,24.779,537741.0
1772992200,67020.7,67052.6,66982.7,66987.9,231.777,51.581,180.196,2045,907,19.644,138.15,16.548,25.584,8057340.9655
1772992500,66987.9,67025.7,66900.0,67017.0,312.163,174.401,137.762,3812,2039,87.306,48.545,56.094,60.999,1515115.386
1772992800,67017.1,67047.3,66930.8,66961.6,312.567,72.683,239.884,3662,1617,22.971,56.454,28.239,152.157,925401.8652
1772993100,66961.6,66966.9,66884.4,66916.8,154.732,64.025,90.707,2521,1159,24.945,31.973,22.0,38.141,401933.2662
1772993400,66916.7,66953.4,66854.5,66882.7,165.394,71.105,94.289,3006,1418,19.553,25.294,31.383,41.977,522819.6624
1772993700,66882.6,66893.0,66707.0,66775.1,654.972,233.565,421.407,7397,3067,84.741,135.783,99.641,207.527,655223.8846
1772994000,66775.0,66925.4,66754.9,66915.8,367.029,223.03,143.999,4650,3111,77.724,85.532,95.611,36.121,1444098.8133
1772994300,66915.8,66960.9,66892.1,66892.2,178.306,109.481,68.825,2831,1435,45.443,21.427,39.957,25.958,433796.8306
1772994600,66892.2,66954.6,66883.8,66890.9,138.9,61.357,77.543,2561,1353,6.868,40.025,32.561,22.214,1426558.34
1772994900,66890.8,66948.1,66813.9,66850.0,202.541,74.304,128.237,3394,1549,17.7,69.533,33.832,35.946,1540314.3911
1772995200,66849.9,66849.9,66749.1,66781.9,363.606,168.884,194.722,4688,2110,62.275,97.246,70.804,57.847,1421052.0501
1772995500,66781.9,66815.2,66718.4,66721.6,412.989,126.956,286.033,4110,1793,34.191,166.854,60.874,83.929,4160423.848
1772995800,66721.6,66816.8,66721.6,66805.1,178.889,94.554,84.335,2609,1608,26.272,39.977,43.094,29.591,459031.0456
1772996100,66805.0,66862.6,66774.9,66777.5,160.39,79.642,80.748,2794,1324,15.823,30.987,44.904,29.316,872355.0375
1772996400,66777.6,66883.8,66746.0,66838.6,437.167,145.544,291.623,4280,2321,55.444,195.496,56.283,66.764,10061694.4071
1772996700,66838.7,66926.5,66821.0,66926.5,207.263,138.721,68.542,3879,2294,38.204,15.529,65.547,30.68,334062.3216
1772997000,66926.4,67047.9,66900.0,66984.2,482.108,294.706,187.402,6717,3657,107.649,81.356,133.048,64.673,1851585.7824
1772997300,66984.2,67192.0,66966.4,67116.8,808.949,515.553,293.396,9017,5287,208.048,114.93,224.628,122.97,2149494.0
1772997600,67116.8,67250.0,67069.5,67167.0,770.825,482.338,288.487,9482,5467,159.719,122.031,241.978,109.288,562088.002
1772997900,67166.9,67215.5,67133.2,67169.4,279.527,153.041,126.486,4178,2157,61.881,41.503,58.273,53.758,513003.2732
1772998200,67169.5,67320.0,67169.4,67307.3,643.093,341.057,302.036,8900,5179,76.235,145.98,185.854,102.292,3346455.5268
1772998500,67306.3,67330.0,67242.3,67310.2,350.159,200.211,149.948,5151,2772,50.418,48.835,105.701,63.161,847086.801
1772998800,67310.2,67353.8,67250.2,67323.3,515.571,308.538,207.033,4325,2274,220.41,89.573,54.593,83.97,10043076.0747
1772999100,67323.3,67459.2,67297.9,67368.7,604.695,408.437,196.258,5724,3286,209.571,84.045,144.232,72.343,1583544.382
1772999400,67368.8,67373.7,67233.3,67283.7,259.881,101.534,158.347,3383,1295,46.905,49.108,35.848,73.593,1284558.2172
1772999700,67283.8,67311.0,67237.9,67299.0,160.843,70.983,89.86,2341,1168,34.898,32.395,20.877,39.558,794242.7636
1773000000,67299.0,67299.0,67167.4,67167.5,414.905,169.685,245.22,4748,1866,94.633,78.609,52.574,124.346,1871337.4564
